Designation,EmpID,Division_ID,Tenure_in_org_in_months,Gross_Pay,Net_Pay,Deduction,Deduction_percentage
Account Service Manager..,20320,15,25,69862,62457,7405,10.6
Account Service Manager..,22790,40,8,65856,60912,4944,7.51
Account Service Manager..,18466,40,36,61382,55417,5965,9.72
Account Service Manager..,18656,15,35,62947,59926,3021,4.8
Account Service Manager..,22974,15,6,76330,72303,4027,5.28
Account Service Manager..,18224,15,37,70716,67417,3299,4.67
Account Service Manager..,18978,40,34,59496,53573,5923,9.96
Account Service Manager..,18661,15,35,66707,58372,8335,12.49
Account Service Manager..,20762,15,22,71662,68514,3148,4.39
Account Service Manager..,22361,16,10,63902,57883,6019,9.42
Account Service Manager..,17205,15,41,72307,65134,7173,9.92
Account Service Manager..,18833,16,34,66379,58433,7946,11.97
Account Service Manager..,22686,15,8,68880,65566,3314,4.81
Account Service Manager..,21684,15,15,79822,70138,9684,12.13
Account Service Manager.Associate.,20953,15,11,80050,77272,2778,3.47
Account Service Manager.Associate.,20874,15,11,54100,43545,10555,19.51
Account Service Manager.Associate.,20956,16,11,46150,41442,4708,10.2
Accountant II..,9999,50,70,104000,90929,13071,12.57
Accountant.Senior Lead.,4583,50,140,172823,106267,66556,38.51
Accountant.Senior.,3245,50,90,148170,88135,60035,40.52
Accountant.Senior.,4977,50,129,154895,122038,32857,21.21
Accountant.Senior.,2815,50,190,146276,97115,49161,33.61
Accounts Receivable Specialist.Senior.,4380,52,144,130158,112635,17523,13.46
Accounts Receivable Specialist.Senior.,19061,52,33,77513,73823,3690,4.76
Applications Developer II..,22973,34,6,215363,203851,11512,5.35
Applications Developer.Senior Lead.,12275,86,63,226199,133080,93119,41.17
Applications Developer.Senior.,5953,86,114,205735,158444,47291,22.99
Applications Developer.Senior.,17821,34,12,198367,129225,69142,34.86
Applications Developer.Senior.,8942,85,83,209537,160838,48699,23.24
Architect..,8452,28,86,238054,124860,113194,47.55
Architect..,8741,4,84,261530,148871,112659,43.08
Architect.Lead.,14835,104,58,300930,163371,137559,45.71
Architect.Principal Lead.,11255,93,69,513881,260469,253412,49.31
Architect.Senior Lead.,16711,42,45,453088,247288,205800,45.42
Architect.Senior.,4513,43,141,355205,251574,103631,29.17
Architect.Senior.,15636,37,52,390375,271852,118523,30.36
Architect.Senior.,4580,100,140,370929,203592,167337,45.11
Architect.Senior.,10899,100,71,277920,156372,121548,43.73
Architect.Senior.,6576,34,103,356847,215870,140977,39.51
Billing Specialist II..,16581,52,46,84996,76532,8464,9.96
Billing Specialist II..,17734,52,39,85323,76493,8830,10.35
Billing Specialist..,20384,52,24,93105,81396,11709,12.58
Billing Specialist..,14596,52,60,76377,65039,11338,14.84
Billing Specialist..,20769,52,22,83591,56658,26933,32.22
Billing Specialist..,22294,52,11,81400,77600,3800,4.67
Billing Specialist..,22248,52,11,94365,90293,4072,4.32
